product	platform	p_group	focus_area	support_level	status	meets_volume_criteria	support_level_desc
AWS Amplify	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS App Mesh	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS App Runner	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS App2Container	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS AppFabric	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
AWS AppSync	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/serverless & aws/category/front-end-web-and-mobile
AWS Application Composer (Preview)	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/serverless
AWS Application Discovery Service	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Application Migration Service (MGN)	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Artifact	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/security-identity-and-compliance
AWS Audit Manager	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
AWS Auto Scaling	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AWS Backup	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Batch	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
AWS Batch	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Billing	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Budgets	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Certificate Manager	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Chatbot	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Clean Rooms (Preview)	AWS	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/analytics
AWS Cloud Control API	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS Cloud Development Kit (CDK)	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Cloud Map	AWS	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/networking-and-content-delivery
AWS Cloud WAN	AWS	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/networking-and-content-delivery
AWS Cloud9	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS CloudFormation	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
